# num; marca; modelo; acabado; n_de_puertas; tipo_de_carroceria; cambio; combustible; potencia_CV; consumo_medio_l; longitud_mm; anchura_mm; altura_mm; maletero_l; garantia_a; precio_euros
1; Mazda; CX-3; Style; 5; SUV; manual; gasolina; 120; 5.9; 4275; 1765; 1535; 350; 3; 18545
2; Mazda; CX-3; Style +; 5; SUV; manual; gasolina; 120; 5.9; 4275; 1765; 1535; 350; 3; 18945
3; Mazda; CX-3; Style; 5; SUV; manual; diesel; 105; 4.0; 4275; 1765; 1535; 350; 3; 19995
4; Mazda; CX-3; Style; 5; SUV; aut; gasolina; 120; 5.8; 4275; 1765; 1535; 350; 3; 20345
5; Mazda; CX-3; Style +; 5; SUV; aut; gasolina; 120; 5.8; 4275; 1765; 1535; 350; 3; 20745
6; Mazda; CX-3; Style +; 5; SUV; manual; diesel; 105; 4.0; 4275; 1765; 1535; 350; 3; 20795
7; Mazda; CX-3; Luxury; 5; SUV; manual; gasolina; 120; 5.9; 4275; 1765; 1535; 350; 3; 21180
8; Mazda; CX-3; Luxury; 5; SUV; manual; diesel; 105; 4.0; 4275; 1765; 1535; 350; 3; 22630
9; Mazda; CX-3; Luxury; 5; SUV; aut; gasolina; 120; 5.8; 4275; 1765; 1535; 350; 3; 22980
10; Mazda; CX-3; Luxury; 5; SUV AWD; manual; diesel; 105; 4.7; 4275; 1765; 1535; 350; 3; 24430
11; Mazda; CX-3; Luxury; 5; SUV AWD; manual; gasolina; 150; 6.4; 4275; 1765; 1535; 350; 3; 24480
12; Mazda; CX-3; Luxury; 5; SUV AWD; aut; diesel; 105; 5.2; 4275; 1765; 1535; 350; 3; 26230
13; Mazda; CX-3; Luxury; 5; SUV AWD; aut; gasolina; 150; 6.3; 4275; 1765; 1535; 350; 3; 26280
14; Mazda; CX-5; Origin; 5; SUV; manual; gasolina; 165; 6.4; 4550; 1840; 1675; 477; 3; 24600
15; Mazda; CX-5; Evolution; 5; SUV; manual; gasolina; 165; 6.4; 4550; 1840; 1675; 477; 3; 26700
16; Mazda; CX-5; Origin; 5; SUV; manual; diesel; 150; 5.0; 4550; 1840; 1675; 477; 3; 26850
